"filename", "language", "XML", "Python", "Markdown", "comment", "blank", "total"
"d:\Projects\rental_system_server\.idea\inspectionProfiles\profiles_settings.xml", "XML", 6, 0, 0, 0, 0, 6
"d:\Projects\rental_system_server\.idea\misc.xml", "XML", 7, 0, 0, 0, 0, 7
"d:\Projects\rental_system_server\.idea\modules.xml", "XML", 8, 0, 0, 0, 0, 8
"d:\Projects\rental_system_server\.idea\rentalsystem.iml", "XML", 23, 0, 0, 0, 0, 23
"d:\Projects\rental_system_server\README.md", "Markdown", 0, 0, 1, 0, 0, 1
"d:\Projects\rental_system_server\account\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Projects\rental_system_server\account\admin.py", "Python", 0, 8, 0, 1, 5, 14
"d:\Projects\rental_system_server\account\apps.py", "Python", 0, 3, 0, 0, 3, 6
"d:\Projects\rental_system_server\account\json_package.py", "Python", 0, 1, 0, 0, 1, 2
"d:\Projects\rental_system_server\account\middleware\login_middleware.py", "Python", 0, 15, 0, 0, 4, 19
"d:\Projects\rental_system_server\account\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Projects\rental_system_server\account\models.py", "Python", 0, 15, 0, 12, 14, 41
"d:\Projects\rental_system_server\account\tests.py", "Python", 0, 1, 0, 1, 2, 4
"d:\Projects\rental_system_server\account\urls.py", "Python", 0, 14, 0, 0, 3, 17
"d:\Projects\rental_system_server\account\views.py", "Python", 0, 160, 0, 5, 29, 194
"d:\Projects\rental_system_server\house\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Projects\rental_system_server\house\admin.py", "Python", 0, 14, 0, 1, 7, 22
"d:\Projects\rental_system_server\house\apps.py", "Python", 0, 3, 0, 0, 3, 6
"d:\Projects\rental_system_server\house\json_package.py", "Python", 0, 1, 0, 0, 1, 2
"d:\Projects\rental_system_server\house\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Projects\rental_system_server\house\models.py", "Python", 0, 34, 0, 22, 28, 84
"d:\Projects\rental_system_server\house\tests.py", "Python", 0, 1, 0, 1, 2, 4
"d:\Projects\rental_system_server\house\urls.py", "Python", 0, 18, 0, 3, 2, 23
"d:\Projects\rental_system_server\house\views.py", "Python", 0, 201, 0, 1, 18, 220
"d:\Projects\rental_system_server\manage.py", "Python", 0, 15, 0, 2, 5, 22
"d:\Projects\rental_system_server\picgroup\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Projects\rental_system_server\picgroup\admin.py", "Python", 0, 8, 0, 1, 4, 13
"d:\Projects\rental_system_server\picgroup\apps.py", "Python", 0, 3, 0, 0, 3, 6
"d:\Projects\rental_system_server\picgroup\json_package.py", "Python", 0, 1, 0, 0, 0, 1
"d:\Projects\rental_system_server\picgroup\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Projects\rental_system_server\picgroup\models.py", "Python", 0, 24, 0, 3, 5, 32
"d:\Projects\rental_system_server\picgroup\tests.py", "Python", 0, 1, 0, 1, 2, 4
"d:\Projects\rental_system_server\picgroup\urls.py", "Python", 0, 14, 0, 0, 3, 17
"d:\Projects\rental_system_server\picgroup\views.py", "Python", 0, 109, 0, 1, 13, 123
"d:\Projects\rental_system_server\rentalsystem\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Projects\rental_system_server\rentalsystem\asgi.py", "Python", 0, 4, 0, 8, 5, 17
"d:\Projects\rental_system_server\rentalsystem\settings.py", "Python", 0, 118, 0, 27, 27, 172
"d:\Projects\rental_system_server\rentalsystem\urls.py", "Python", 0, 15, 0, 15, 2, 32
"d:\Projects\rental_system_server\rentalsystem\wsgi.py", "Python", 0, 4, 0, 8, 5, 17
"d:\Projects\rental_system_server\support\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Projects\rental_system_server\support\admin.py", "Python", 0, 20, 0, 1, 9, 30
"d:\Projects\rental_system_server\support\apps.py", "Python", 0, 3, 0, 0, 3, 6
"d:\Projects\rental_system_server\support\json_package.py", "Python", 0, 1, 0, 0, 0, 1
"d:\Projects\rental_system_server\support\migrations\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Projects\rental_system_server\support\models.py", "Python", 0, 32, 0, 23, 24, 79
"d:\Projects\rental_system_server\support\tests.py", "Python", 0, 1, 0, 1, 2, 4
"d:\Projects\rental_system_server\support\urls.py", "Python", 0, 15, 0, 0, 2, 17
"d:\Projects\rental_system_server\support\views.py", "Python", 0, 250, 0, 1, 24, 275
"Total", "-", 44, 1127, 1, 139, 269, 1580
